2017-09-11 19:47:28	guest	http://localhost:8888/bannertool/	Compiled file: /site/templates/home.php
2017-09-12 19:47:57	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/336x280/	Maintenance/Remove target file: /site/assets/cache/FileCompiler/site/templates/basic-page.php
2017-09-12 19:47:57	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/336x280/	Maintenance/Copy new version of source file to target file: /site/templates/homepage.php => /site/assets/cache/FileCompiler/site/templates/homepage.php
2017-09-13 13:26:21	remco	http://localhost:8888/bannertool/	Compiled file: /site/templates/homepage.php
2017-09-13 13:26:40	remco	http://localhost:8888/bannertool/	Compiled file: /site/templates/homepage.php
2017-09-13 13:26:53	remco	http://localhost:8888/bannertool/	Compiled file: /site/templates/homepage.php
2017-09-13 13:27:34	remco	http://localhost:8888/bannertool/	Compiled file: /site/templates/homepage.php
2017-09-13 13:27:36	remco	http://localhost:8888/bannertool/klant-a/	Compiled file: /site/templates/client-klant-a-page.php
2017-09-13 13:27:41	remco	http://localhost:8888/bannertool/klant-a/campagne-a/	Compiled file: /site/templates/campaign-page.php
2017-09-13 13:27:43	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 14:03:01	remco	http://localhost:8888/bannertool/klant-b/	Compiled file: /site/templates/client-klant-b-page.php
2017-09-13 14:30:26	klant-a	http://localhost:8888/bannertool/http404/	Compiled file: /site/templates/client-page.php
2017-09-13 14:35:35	remco	http://localhost:8888/bannertool/login/module/download/	Compiled file: /site/modules/ProcessAccessOverview/ProcessAccessOverview.module
2017-09-13 16:03:26	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:04:40	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:07:09	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:07:36	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:08:13	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:08:25	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:09:20	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:09:36	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:10:26	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:40:32	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:40:46	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:41:24	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:41:40	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-13 16:44:06	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 08:54:30	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 08:59:10	klant-a	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 09:05:58	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Maintenance/Remove target file: /site/assets/cache/FileCompiler/site/templates/client-page.php
2017-09-14 09:11:45	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 09:13:01	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 09:13:09	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 09:39:20	boris	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
2017-09-14 09:42:34	remco	http://localhost:8888/bannertool/klant-a/campagne-a/see-fase/	Compiled file: /site/templates/iab-set-page.php
